date,observed,trend,seasonal,resid
2012-01-04,0.005374237952630478,,-0.000317508540266588,
2012-01-05,0.011102179733368578,,0.0007488996506816724,
2012-01-06,0.0104535058741686,,-0.0006110904111617013,
2012-01-09,-0.001585935119301829,,0.0018009136684068036,
2012-01-10,0.0035803703942451914,,0.0029933907565287024,
2012-01-11,-0.0016305591988935442,,0.0009818621132149858,
2012-01-12,-0.002744926834253536,,-0.0019490023753521025,
2012-01-13,-0.003749657222887004,,-0.0017000949813960095,
2012-01-16,0.0,,0.002359490963679754,
2012-01-17,0.01164814641796319,,-0.0015322929656072216,
2012-01-18,0.010383939197111669,,-0.0011403576734370332,
2012-01-19,-0.0031692574121329198,,-0.0008290145774445128,
2012-01-20,-0.017416975620457187,,-0.0031069595771889584,
2012-01-23,0.01691667058395452,,0.0017758230131164937,
2012-01-24,-0.0163777858831875,,0.0012888384927114294,
2012-01-25,0.06243907875477772,0.006793152417599069,0.0027125389573620156,0.052933387379816635
2012-01-26,-0.004544963559333315,0.00628487864865357,-0.0017692951275806374,-0.009060547080406246
2012-01-27,0.005959912943401147,0.006074674445442816,-0.0008981640181006346,0.0007834025160589654
2012-01-30,0.012810901154740817,0.005923903499974616,0.004235813898899182,0.002651183755867019
2012-01-31,0.0076599792619864715,0.0063132027237932315,-0.0013678865128663306,0.0027146630510595706
2012-02-01,-0.0006351709221652513,0.006644655379571379,0.004577280138132772,-0.011857106439869402
2012-02-02,-0.0023457467693710488,0.006767814988577428,-0.0016529881788794629,-0.007460573579069015
2012-02-03,0.010019442414650692,0.007179184770367428,-0.0017860949047480163,0.004626352549031281
2012-02-06,0.00933250927506113,0.007542856969378751,0.00011428059766262045,0.0016753717080197584
2012-02-07,0.010474700690787264,0.007761501597380687,-0.000499737365374576,0.0032129364587811533
2012-02-08,0.016743681731492988,0.007919037920051254,-0.0009075927041124565,0.00973223651555419
2012-02-09,0.03459418970406558,0.008079999804295662,-0.0028239468800692756,0.029338136779839194
2012-02-10,0.0005064132288914447,0.00850720990160372,-0.0025430694653068723,-0.0054577272074054035
2012-02-13,0.0186048574842681,0.008169823016260978,0.0011898414467324198,0.009245193021274703
2012-02-14,0.01364901716812894,0.007702728427272617,0.0006561225617635356,0.005290166179092788
2012-02-15,-0.02314212783884817,0.00685789955283931,-0.000317508540266588,-0.02968251885142089
